STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
WA	5315710	02412386	Creston town	1167052	0	0.451	0.000	47.759838	-118.520073
WA	5315780	02584964	Crocker CDP	18539527	198308	7.158	0.077	47.080911	-122.103834
WA	5316165	02586732	Curlew CDP	1963693	0	0.758	0.000	48.877746	-118.604489
WA	5316170	02631348	Curlew Lake CDP	11293935	3464316	4.361	1.338	48.731495	-118.666816
WA	5316340	02412397	Cusick town	1158938	0	0.447	0.000	48.333269	-117.296221
WA	5316375	02408634	Custer CDP	4721574	0	1.823	0.000	48.914322	-122.639773
WA	5316550	02408639	Dallesport CDP	17437192	2114356	6.733	0.816	45.631591	-121.168866
WA	5316585	02631349	Danville CDP	460996	0	0.178	0.000	48.993694	-118.506857
WA	5316690	02412405	Darrington town	4277210	57195	1.651	0.022	48.253586	-121.602524
WA	5316760	02584965	Dash Point CDP	1650148	0	0.637	0.000	47.312660	-122.413923
WA	5316795	02410295	Davenport city	4703822	0	1.816	0.000	47.656162	-118.151937
WA	5316970	02410301	Dayton city	3693471	0	1.426	0.000	46.316958	-117.976764
WA	5317215	02584966	Deep River CDP	34466834	596551	13.308	0.230	46.353534	-123.704911
WA	5317320	02410312	Deer Park city	17831399	0	6.885	0.000	47.964224	-117.439800
WA	5317495	02408656	Deming CDP	13477542	314860	5.204	0.122	48.844040	-122.225680
WA	5317617	02408663	Desert Aire CDP	8795346	7000997	3.396	2.703	46.694214	-119.929050
WA	5317635	02410327	Des Moines city	16837298	0	6.501	0.000	47.391101	-122.315491
WA	5317880	02584967	Disautel CDP	9775089	0	3.774	0.000	48.345130	-119.229901
WA	5318055	02408673	Dixie CDP	1404531	0	0.542	0.000	46.139231	-118.147931
WA	5318195	02408679	Dollars Corner CDP	10249067	0	3.957	0.000	45.780236	-122.599968
WA	5318265	02584968	Donald CDP	2373030	0	0.916	0.000	46.473604	-120.392106
WA	5318775	02629757	Duluth CDP	15471439	0	5.974	0.000	45.783824	-122.647038
WA	5318965	02410373	DuPont city	15172710	46922	5.858	0.018	47.107516	-122.646980
WA	5319035	02410377	Duvall city	6389488	57618	2.467	0.022	47.735386	-121.972300
WA	5319290	02408703	East Cathlamet CDP	4436102	0	1.713	0.000	46.196790	-123.358035
WA	5319420	02408040	Eastgate CDP	3098914	0	1.196	0.000	47.571269	-122.134075
WA	5319515	02408709	East Hill-Meridian CDP	20777978	384869	8.022	0.149	47.409289	-122.172499
WA	5319630	02584969	Eastmont CDP	13185305	54976	5.091	0.021	47.897402	-122.181536
WA	5319700	02408042	Easton CDP	8305834	37965	3.207	0.015	47.232710	-121.159518
WA	5319770	02408031	East Port Orchard CDP	6421836	0	2.479	0.000	47.517712	-122.624234
WA	5319857	02408034	East Renton Highlands CDP	29312836	168049	11.318	0.065	47.471464	-122.088579
WA	5320155	02410391	East Wenatchee city	9845292	21355	3.801	0.008	47.417173	-120.280273
WA	5320260	02412463	Eatonville town	4720438	48753	1.823	0.019	46.868220	-122.269566
WA	5320645	02410400	Edgewood city	21786340	21131	8.412	0.008	47.232074	-122.285729
WA	5320680	02408046	Edison CDP	1487097	0	0.574	0.000	48.560201	-122.430981
WA	5320750	02410403	Edmonds city	23064795	24667120	8.905	9.524	47.827546	-122.366024
WA	5320890	02408065	Elbe CDP	148793	0	0.057	0.000	46.765401	-122.194718
WA	5321030	02412472	Electric City city	4409134	1663337	1.702	0.642	47.913031	-119.045768
WA	5321205	02408074	Elk Plain CDP	19920612	21140	7.691	0.008	47.044535	-122.365344
WA	5321240	02410430	Ellensburg city	17931233	129687	6.923	0.050	47.001168	-120.549588
WA	5321450	02410431	Elma city	4894183	86050	1.890	0.033	47.007286	-123.405276
WA	5321485	02412478	Elmer City town	540729	0	0.209	0.000	47.999842	-118.952966
WA	5321730	02412488	Endicott town	740673	0	0.286	0.000	46.927982	-117.686589
WA	5321800	02584970	Enetai CDP	2666758	0	1.030	0.000	47.588468	-122.605732
WA	5322010	02410447	Entiat city	5472107	1637470	2.113	0.632	47.677140	-120.224582
WA	5322045	02410448	Enumclaw city	11039510	23154	4.262	0.009	47.199796	-121.987187
WA	5322080	02410450	Ephrata city	26120924	0	10.085	0.000	47.312631	-119.535293
WA	5322118	02408087	Erlands Point-Kitsap Lake CDP	4538089	1492819	1.752	0.576	47.598132	-122.704296
WA	5322150	02408088	Eschbach CDP	3042585	248699	1.175	0.096	46.665064	-120.632557
WA	5322255	02408090	Esperance CDP	1865948	2376	0.720	0.001	47.793248	-122.348064
